Pos Methylation_rate Methylation_state Metylation_type Theta
1:14353 0.756318 Methylated Normal 0
1:14434 0.772039 Methylated Normal 0
1:14468 0.778953 Methylated Normal 0
1:14485 0.782449 Methylated Normal 0
1:14520 0.789686 Methylated Normal 0
1:14552 0.796306 Methylated Normal 0
1:14588 0.8037 Methylated Normal 0
1:14652 0.816534 Methylated Normal 0
1:14698 0.825379 Methylated Normal 0
1:14709 0.827436 Methylated Normal 0
1:14715 0.828547 Methylated Normal 0
1:14740 0.833094 Methylated Normal 0
1:14746 0.834165 Methylated Normal 0
1:14772 0.838705 Methylated Normal 0
1:14774 0.839048 Methylated Normal 0
1:14790 0.841751 Methylated Normal 0
1:14887 0.856656 Methylated Normal 0
1:14946 0.864373 Methylated Normal 0
1:14953 0.865217 Methylated Normal 0
1:14974 0.867656 Methylated Normal 0
1:15003 0.870793 Methylated Normal 0
1:15027 0.873181 Methylated Normal 0
1:15044 0.874758 Methylated Normal 0
1:15084 0.878088 Methylated Normal 0
1:15088 0.878391 Methylated Normal 0
1:15170 0.88338 Methylated Normal 0
1:15188 0.884154 Methylated Normal 0
1:15206 0.884809 Methylated Normal 0
1:15238 0.885681 Methylated Normal 0
1:15338 0.8865 Methylated Normal 0
1:15379 0.886117 Methylated Normal 0
1:15388 0.885983 Methylated Normal 0
1:15397 0.885832 Methylated Normal 0
1:15416 0.885459 Methylated Normal 0
1:15512 0.882558 Methylated Normal 0
1:15525 0.882048 Methylated Normal 0
1:15642 0.876495 Methylated Normal 0
1:15719 0.872153 Methylated Normal 0
1:15748 0.870441 Methylated Normal 0
1:15768 0.869248 Methylated Normal 0
1:15788 0.868051 Methylated Normal 0
1:15833 0.865373 Methylated Normal 0
1:15848 0.864494 Methylated Normal 0
1:15864 0.863567 Methylated Normal 0
1:15881 0.862599 Methylated Normal 0
1:15911 0.860945 Methylated Normal 0
1:15954 0.858729 Methylated Normal 0
1:16057 0.854528 Methylated Normal 0
1:16069 0.85417 Methylated Normal 0
1:16081 0.853845 Methylated Normal 0
1:16138 0.852791 Methylated Normal 0
1:16140 0.852769 Methylated Normal 0
1:16242 0.85301 Methylated Normal 0
1:16554 0.864148 Methylated Normal 0
1:16569 0.864955 Methylated Normal 0
1:16616 0.867583 Methylated Normal 0
1:16618 0.867698 Methylated Normal 0
1:16633 0.868565 Methylated Normal 0
1:16645 0.869268 Methylated Normal 0
1:16664 0.870394 Methylated Normal 0
1:16666 0.870513 Methylated Normal 0
1:16730 0.874407 Methylated Normal 0
1:16821 0.880078 Methylated Normal 0
1:16868 0.883011 Methylated Normal 0
1:16931 0.886889 Methylated Normal 0
1:16943 0.887617 Methylated Normal 0
1:16961 0.8887 Methylated Normal 0
1:16973 0.889417 Methylated Normal 0
1:17377 0.909442 Methylated Normal 0
1:17405 0.910505 Methylated Normal 0
1:17451 0.912152 Methylated Normal 0
1:17477 0.913028 Methylated Normal 0
1:17482 0.913192 Methylated Normal 0
1:17491 0.913483 Methylated Normal 0
1:17561 0.915581 Methylated Normal 0
1:17570 0.915829 Methylated Normal 0
1:17583 0.916178 Methylated Normal 0
1:17612 0.91692 Methylated Normal 0
1:17687 0.91859 Methylated Normal 0
1:17693 0.918708 Methylated Normal 0
1:17700 0.918843 Methylated Normal 0
1:17714 0.919103 Methylated Normal 0
1:17852 0.920955 Methylated Normal 0
1:17900 0.921287 Methylated Normal 0
1:17902 0.921297 Methylated Normal 0
1:17924 0.921388 Methylated Normal 0
1:17928 0.921401 Methylated Normal 0
1:17939 0.92143 Methylated Normal 0
1:17963 0.921461 Methylated Normal 0
1:17969 0.921462 Methylated Normal 0
1:17994 0.921434 Methylated Normal 0
1:17998 0.921425 Methylated Normal 0
1:18026 0.921325 Methylated Normal 0
1:18151 0.920065 Methylated Normal 0
1:18212 0.918982 Methylated Normal 0
1:18352 0.915557 Methylated Normal 0
1:18510 0.91057 Methylated Normal 0
1:18563 0.908747 Methylated Normal 0
1:18574 0.908365 Methylated Normal 0
1:18731 0.902967 Methylated Normal 0
1:18767 0.901804 Methylated Normal 0
1:18774 0.901584 Methylated Normal 0
1:18809 0.900517 Methylated Normal 0
1:18826 0.900021 Methylated Normal 0
1:18853 0.899269 Methylated Normal 0
1:18872 0.898769 Methylated Normal 0
1:18879 0.898591 Methylated Normal 0
1:18886 0.898416 Methylated Normal 0
1:18933 0.897345 Methylated Normal 0
1:19014 0.89598 Methylated Normal 0
1:19055 0.895536 Methylated Normal 0
1:19120 0.895035 Methylated Normal 0
1:19131 0.89497 Methylated Normal 0
1:19159 0.894831 Methylated Normal 0
1:19188 0.894717 Methylated Normal 0
1:19247 0.894562 Methylated Normal 0
1:19272 0.894518 Methylated Normal 0
1:19278 0.894509 Methylated Normal 0
1:19282 0.894504 Methylated Normal 0
1:19297 0.894484 Methylated Normal 0
1:19319 0.894457 Methylated Normal 0
1:19321 0.894455 Methylated Normal 0
1:19389 0.894373 Methylated Normal 0
1:19391 0.89437 Methylated Normal 0
1:19507 0.89406 Methylated Normal 0
1:19538 0.893906 Methylated Normal 0
1:19589 0.893555 Methylated Normal 0
1:19682 0.892517 Methylated Normal 0
1:19771 0.890891 Methylated Normal 0
1:19787 0.890519 Methylated Normal 0
1:19887 0.88753 Methylated Normal 0
1:19909 0.886699 Methylated Normal 0
1:19916 0.886421 Methylated Normal 0
1:19940 0.88541 Methylated Normal 0
